datetime;open;close;hma8;hma13;hma21;hma34;hma55;hma89;hma116;hma144;hma188;hma233;hma377;atr;adx;choppiness;fast_hma_spread;fast_hma_spread_atr;trend;event;lateral_filter;lateral_filter_reasons;reversal_cooldown_bars_remaining;last_reversal_fast_hmas_crossed;fast_hma_alignment;fast_hma_up_count;fast_hma_down_count;fast_hma_aligned_up;fast_hma_aligned_down;crossed_hmas;up_touched_hmas;down_touched_hmas;crossed_all_up;crossed_all_down;crossed_history;crossed_up;crossed_down;crossed_free_up;crossed_free_down;possivel_reversa;hma8_dir;hma8_angle_degrees;hma8_angle_percent;hma13_dir;hma13_angle_degrees;hma13_angle_percent;hma21_dir;hma21_angle_degrees;hma21_angle_percent
2026-04-20 01:00:00;4775,44000;4791,76000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 01:20:00;4791,76000;4784,18000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 01:40:00;4784,16000;4779,22000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 02:00:00;4779,25000;4773,02000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 02:20:00;4772,96000;4763,89000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 02:40:00;4763,74000;4755,15000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 03:00:00;4755,23000;4758,21000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 03:20:00;4758,21000;4764,98000;;;;;;;;;;;;;;;;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 03:40:00;4764,96000;4772,25000;4762,07900;;;;;;;;;;;;;;0,00000;;NEUTRAL;;False;;0;;HMA8:FLAT|HMA13:FLAT|HMA21:FLAT;0;0;False;False;;;;;;;;;;;False;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 04:00:00;4772,23000;4792,63000;4777,59628;;;;;;;;;;;;;;0,00000;;UPTREND;REVERSAL_TO_HMA8;False;;0;8;HMA8:UP|HMA13:FLAT|HMA21:FLAT;1;0;False;False;;;;8;;;8;;8;;False;UP;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
